Named User,Notification Name,Message Type,Notification ID
3XAM9Q,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
DJ8424,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
468889,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
2EA32Y,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
KW7804,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
36AYES,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3CBXHW,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
AP7876,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
JT6989,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
HM2853,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
419551,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
171886,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
26A7J8,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
4HAT8P,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
2RAVF6,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
AL3831,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
2BB5KP,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
708991,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
25BJ6D,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3TAX4A,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
BD4387,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
FP4932,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
3CAMRY,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
32AG2A,Diamond_inapp_2811,In-App Impression,247559d7-99e9-4f41-a3d1-043731693826
